assay,gene,n_variants,raw_prot_frac,raw_dna_frac,raw_shared_frac,mass_pp,mass_dp,mass_sh,pfm_prot_frac,pfm_dna_frac,pfm_shared_frac,afn_prot_frac,afn_dna_frac,afn_shared_frac,n_active_pp,n_active_dp,n_active_sh
ANCSZ_Hobbs_2022,ANCSZ,1530,0.5337339043617249,0.44182536005973816,0.0244407057762146,119280.203125,98740.25,5462.07080078125,0.7607321178125294,0.16694764484745658,0.07232023729301039,0.7382712846710051,0.18566326332196667,0.07606545196246461,720,2370,320
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR,436,0.647731363773346,0.3401685953140259,0.01210007257759571,39153.484375,20562.205078125,731.414306640625,0.8488901698615025,0.11818802233209211,0.03292180764661579,0.7643994271155969,0.1756618775107728,0.05993869524087281,680,1554,162
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11,55,0.4915139973163605,0.4751247763633728,0.033361226320266724,3904.835693359375,3774.63134765625,265.0384521484375,0.7157278179411002,0.18341817456955842,0.10085400613847427,0.5655471149318957,0.23374799255101528,0.20070489225204563,183,428,35
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1,356,0.6200613975524902,0.36503103375434875,0.014907571487128735,30249.98046875,17808.20703125,727.2727661132812,0.8291996729511132,0.1294127039482016,0.041387622898661915,0.7433836257256158,0.184203937262124,0.07241243685793133,628,1492,155
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB,294,0.5734100341796875,0.41412800550460815,0.012462034821510315,21124.66015625,15256.6455078125,459.1064758300781,0.8086784104390707,0.15483454604540878,0.03648704323338756,0.703786588706839,0.22825920181156303,0.06795420928769957,582,1296,131
BLAT_ECOLX_Deng_2012,BLAT,1546,0.5699186325073242,0.34700635075569153,0.08307503163814545,128613.8984375,78309.140625,18747.59375,0.6830434772808901,0.11025431514233303,0.20670220753763618,0.6525698134728525,0.12526839079251673,0.22216179569860628,710,2252,304
BLAT_ECOLX_Firnberg_2014,BLAT,1540,0.5700304508209229,0.3467662036418915,0.0832032784819603,128129.3125,77944.8046875,18702.12109375,0.6829201600918977,0.11013650802495052,0.20694333184387026,0.6524108414260633,0.12518223474900259,0.22240692378878216,710,2251,304
BLAT_ECOLX_Jacquier_2013,BLAT,989,0.5761132836341858,0.3406691551208496,0.08321758359670639,82559.0859375,48819.1015625,11925.3759765625,0.6865097021401101,0.10762031972515788,0.20586997807344765,0.6417225739807494,0.1313240541970151,0.22695337176875807,688,1988,281
BLAT_ECOLX_Stiffler_2015,BLAT,1546,0.5699186325073242,0.34700635075569153,0.08307503163814545,128613.8984375,78309.140625,18747.59375,0.6830434772808901,0.11025431514233303,0.20670220753763618,0.6525698134728525,0.12526839079251673,0.22216179569860628,710,2252,304
BRCA1_HUMAN_Findlay_2018,BRCA1,1837,0.24486592411994934,0.7284213900566101,0.026712624356150627,41051.76953125,122119.8359375,4478.37109375,0.49624948214168507,0.39136058867521023,0.11238992909401348,0.5234889754928138,0.3654103170595602,0.11110070736575872,642,2736,330
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2,257,0.14709144830703735,0.8275459408760071,0.025362636893987656,3247.908935546875,18272.9453125,560.0294189453125,0.35094075331352853,0.5234331288882635,0.12562611700187,0.5986552494240214,0.28293990285357024,0.11840484743486873,156,1857,136
C6KNH7_9INFA_Lee_2018,C6KNH7,3355,0.6426268219947815,0.3408983647823334,0.01647481508553028,271738.875,144151.0625,6966.48095703125,0.8376214851802994,0.11779763606621774,0.04458087873076503,0.8180783056758364,0.13388085862109492,0.048040835681001426,733,2376,320
CALM1_HUMAN_Weile_2017,CALM1,837,0.5509793758392334,0.3939605951309204,0.05506008863449097,65956.90625,47160.42578125,6591.15966796875,0.7158092881342011,0.13568675682757458,0.14850395495824012,0.674344208845752,0.16248032926945133,0.16317546181547776,678,2012,280
CAPSD_AAV2S_Sinai_2021,CAPSD,167,0.6284566521644592,0.3668551743030548,0.0046882471069693565,15357.673828125,8964.8857421875,114.5672836303711,0.8545246209522741,0.1322411421285317,0.013234236509116,0.7132929326231393,0.24215815102270494,0.04454891618695236,360,619,43
CAR11_HUMAN_Meitlis_2020_gof,CAR11,793,0.5250038504600525,0.44972747564315796,0.025268586352467537,56291.640625,48220.40234375,2709.332763671875,0.7535697046840031,0.1711327170908026,0.07529757812653308,0.7297649978409039,0.18495286505862868,0.08528213701516434,658,2224,271
CAR11_HUMAN_Meitlis_2020_lof,CAR11,801,0.5249529480934143,0.44981083273887634,0.025236215442419052,56847.734375,48710.515625,2732.857666015625,0.7536004760737097,0.1711880409751232,0.07521148285346692,0.7305472101764812,0.18498580511224394,0.08446698462658714,659,2230,274
CAS9_STRP1_Spencer_2017_positive,CAS9,6991,0.4499310255050659,0.5340735912322998,0.01599537953734398,355011.96875,421403.53125,12620.9375,0.7202059835090244,0.2266389725817023,0.05315504389432204,0.7202445260126578,0.22666971282855378,0.0530857611438566,736,2776,355
CASP3_HUMAN_Roychowdhury_2020,CASP3,587,0.6420114636421204,0.33846285939216614,0.019525673240423203,55633.9609375,29329.740234375,1692.0111083984375,0.8313227348938018,0.11618781510895368,0.05248944988711669,0.7978436282278929,0.14158709901530783,0.0605692726637266,649,1928,260
CASP7_HUMAN_Roychowdhury_2020,CASP7,633,0.6617661714553833,0.3191326856613159,0.01910114847123623,60241.875,29051.27734375,1738.815185546875,0.8419140156045598,0.10763590908931829,0.05045007520312213,0.810238466009836,0.12661761015443024,0.06314392374494805,675,2083,250
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR,468,0.604473352432251,0.3751586675643921,0.020367976278066635,41110.1953125,25514.517578125,1385.224853515625,0.8100515025911892,0.1332825045226579,0.05666599274093155,0.7051074393304715,0.19733264435918682,0.09755991619765544,657,1457,160
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2,461,0.6127113699913025,0.3712642788887024,0.01602434180676937,37036.01953125,22441.48046875,968.609130859375,0.823089953355292,0.13222001199486902,0.04469003448604782,0.76002954512098,0.1663900234579442,0.0735804312911757,633,1752,171
CBS_HUMAN_Sun_2020,CBS,2196,0.6009554266929626,0.37726080417633057,0.021783776581287384,184445.828125,115789.25,6685.89794921875,0.8053601995356278,0.13403316082468686,0.060606639607505085,0.8001266542279186,0.13823044699139245,0.061642898749064916,729,2649,343
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4,309,0.6445228457450867,0.33775484561920166,0.01772230491042137,29772.10546875,15601.7333984375,818.6371459960938,0.8361122494935698,0.11615838940118967,0.047729360898263386,0.7337376695673898,0.17263574385291344,0.09362658643330458,594,1323,128
CCDB_ECOLI_Adkar_2012,CCDB,386,0.5401773452758789,0.4465429484844208,0.013279751874506474,29892.71875,24711.111328125,734.8843383789062,0.7872825732952017,0.17253618521374417,0.040181241296950984,0.7110899851892973,0.21958278500440714,0.0693272296685627,579,1550,146
CCDB_ECOLI_Tripathi_2016,CCDB,533,0.5429124236106873,0.444065123796463,0.013022510334849358,41330.35546875,33805.3984375,991.3661499023438,0.7894920445654648,0.17119353843213456,0.03931441686161905,0.7332832410630883,0.20673690630740915,0.0599798525218086,607,1761,178
CCR5_HUMAN_Gill_2023,CCR5,1908,0.5729067325592041,0.39658042788505554,0.030512837693095207,151483.640625,104860.7890625,8067.97265625,0.7727470652818091,0.14181019156589092,0.08544274311470407,0.7646578191515928,0.14800472628940478,0.08733745452230493,727,2600,339
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19,1493,0.5731815695762634,0.40435633063316345,0.022462110966444016,118800.2578125,83808.7578125,4655.6005859375,0.7884070459174993,0.14745014684992816,0.06414280718366216,0.7793598761804184,0.1537831099586134,0.06685701381386562,718,2567,328
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9,2174,0.6243610382080078,0.345109224319458,0.030529707670211792,196321.84375,108514.90625,9599.6513671875,0.8012501326354721,0.11741175558576258,0.08133811174868609,0.79397742762232,0.12382143788807579,0.08220113446040457,722,2559,341
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9,2044,0.6218616366386414,0.346192330121994,0.03194601088762283,184937.546875,102955.3203125,9500.533203125,0.7972976686768467,0.11767030731098503,0.08503202398039501,0.7886754328028451,0.12505038532666116,0.08627418183961819,724,2542,340
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4,432,0.60343998670578,0.3801979720592499,0.016362102702260017,39539.35546875,24911.810546875,1072.098388671875,0.8174454735711215,0.1365391491351432,0.04601537714136636,0.7333713117331097,0.19098958691764834,0.07563910123776933,601,1454,158
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1,291,0.6227341890335083,0.36913082003593445,0.00813502911478281,23609.705078125,13994.8466796875,308.4231262207031,0.8444054177911682,0.13269399999689602,0.02290058194834636,0.6825731157917848,0.2556543661220641,0.06177251791991464,575,910,83
D7PM05_CLYGR_Somermeyer_2022,D7PM05,1012,0.638748824596405,0.3524858057498932,0.008765359409153461,93764.796875,51742.96484375,1286.706298828125,0.8512190886787855,0.12453044467791283,0.024250466576395166,0.8079258982277681,0.15694823410615724,0.03512586760765468,678,1926,214
DLG4_HUMAN_Faure_2021,DLG4,463,0.5895792841911316,0.3534899950027466,0.05693076178431511,34269.56640625,20546.76953125,3309.126708984375,0.7356097728797054,0.11692439254816943,0.14746583441392522,0.6583358760218503,0.17369680126000478,0.16796732260038455,613,1393,232
DLG4_RAT_McLaughlin_2012,DLG4,553,0.5977882742881775,0.3471623957157135,0.05504924803972244,41103.9921875,23870.927734375,3785.192626953125,0.7434168654621715,0.11445648252378698,0.1421266518807461,0.6742696138555727,0.1661004492603922,0.1596299367798698,635,1497,247
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A,328,0.7136557698249817,0.2727595567703247,0.013584641739726067,33261.5859375,12712.59375,633.143798828125,0.8765450348272861,0.08881537253625989,0.034639592442231866,0.7431930282771112,0.18298159507439857,0.07382537650973485,621,964,119
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1,379,0.5481280088424683,0.4346081018447876,0.017263872548937798,30224.296875,23964.701171875,951.9462890625,0.7839507102348761,0.16478863690102194,0.05126065267294064,0.6921446506592095,0.22652521446117674,0.08133013474633433,582,1410,156
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1,370,0.591074526309967,0.38006317615509033,0.02886234223842621,31544.025390625,20282.9296875,1540.3040771484375,0.7862625138904075,0.1340305605837238,0.07970692534216484,0.7096147682183225,0.17572951645440618,0.11465571518509667,632,1641,191
DYR_ECOLI_Nguyen_2023,DYR,935,0.5733498334884644,0.40193143486976624,0.024718808010220528,78225.890625,54838.1484375,3372.549560546875,0.7840974529032946,0.14572195912784383,0.07018058789498836,0.7623015571473417,0.16138843930486843,0.07631000348171955,678,2245,292
DYR_ECOLI_Thompson_2019,DYR,636,0.5668643116950989,0.40828439593315125,0.024851296097040176,53950.91015625,38858.1796875,2365.20458984375,0.7800565515815977,0.14894723901682067,0.07099620929502164,0.7528638805464517,0.16631161177947376,0.08082450758727701,622,2028,254
ENVZ_ECOLI_Ghose_2023,ENVZ,372,0.6215165257453918,0.3660152554512024,0.012468128465116024,32827.2734375,19332.201171875,658.5418701171875,0.8348839850520282,0.13034528183685637,0.03477073292367688,0.7338394562820041,0.19395549431093737,0.07220504926890749,618,1377,126
ENV_HV1B9_DuenasDecamp_2016,ENV,113,0.6831699013710022,0.28898659348487854,0.02784346416592598,11308.677734375,4783.66552734375,460.899658203125,0.8355927698864974,0.09370577215005406,0.0707014574188826,0.6489998624013256,0.17998189572603593,0.17101824165742768,375,572,58
ENV_HV1BR_Haddox_2016,ENV,3939,0.6338585615158081,0.340523898601532,0.02561744675040245,357557.59375,192088.453125,14450.7197265625,0.8154436731664326,0.1161373501422303,0.06841897667452915,0.8101186971426511,0.11849039328111868,0.07139090955953196,737,2707,338
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2,411,0.6168187856674194,0.3600671589374542,0.023114070296287537,36064.1953125,21052.42578125,1351.4346923828125,0.8113244584756907,0.1255576443511555,0.06311789700735332,0.7359835073121395,0.17417407625096323,0.08984241630526846,645,1591,198
ERBB2_HUMAN_Elazar_2016,ERBB2,109,0.6117695569992065,0.3616696894168854,0.026560738682746887,8442.23046875,4990.9296875,366.52996826171875,0.8020129225752602,0.12569798201201232,0.07228909471257641,0.6997904763032418,0.18016247937307636,0.12004704405511303,324,744,82
ESTA_BACSU_Nutschel_2020,ESTA,726,0.5572911500930786,0.4305170178413391,0.012191817164421082,52388.26953125,40470.83984375,1146.09423828125,0.7998604053532736,0.16381175172647858,0.03632784280772314,0.7608054908208554,0.19128849170443152,0.047906017378574674,662,2034,230
F7YBW8_MESOW_Ding_2023,F7YBW8,51,0.47349658608436584,0.516273021697998,0.0102303521707654,3098.99609375,3378.96435546875,66.9568099975586,0.7496738570139546,0.2166993655290717,0.0336267756741072,0.5702156625793909,0.3222207250710487,0.10756361193188019,227,438,26
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA,411,0.5899586081504822,0.39659351110458374,0.013447875156998634,33778.99609375,22707.576171875,769.9789428710938,0.8159675676826164,0.14541848994547105,0.03861394219388235,0.7346597458590605,0.19994496981600002,0.06539528419074805,617,1524,158
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3,430,0.6833083033561707,0.2997119724750519,0.016979731619358063,47067.90234375,20644.875,1169.6043701171875,0.8562597558227034,0.09956704969040323,0.04417319435281825,0.7808659774589969,0.14139609683003643,0.07773792560528721,637,1543,159
GAL4_YEAST_Kitzman_2015,GAL4,369,0.5956788659095764,0.39098086953163147,0.01334024965763092,30495.4921875,20016.078125,682.9476928710938,0.8193362808178215,0.14257002259641757,0.0380936963877478,0.7178950086964676,0.21921145848899223,0.06289353266811512,622,1337,159
GDIA_HUMAN_Silverstein_2021,GDIA,1153,0.6103124618530273,0.3650055527687073,0.02468194253742695,92416.609375,55270.99609375,3737.465087890625,0.804822393980538,0.12760567953164761,0.06757192642363168,0.7923838659911561,0.13938112569531474,0.06823500825565443,675,2295,317
GFP_AEQVI_Sarkisyan_2016,GFP,909,0.6392201781272888,0.35388702154159546,0.006892757024616003,86542.0625,47911.6796875,933.1892700195312,0.8553177701746195,0.1255348599464895,0.01914736980605136,0.7983989076964434,0.17312776219452575,0.028473330046481612,678,1731,205
GLPA_HUMAN_Elazar_2016,GLPA,79,0.5198006629943848,0.459107369184494,0.021091904491186142,5483.703125,4843.41162109375,222.51171875,0.7584990750555062,0.17760500157496248,0.06389592235012193,0.6444423792242913,0.21077879600907187,0.14477882449986748,227,613,41
GRB2_HUMAN_Faure_2021,GRB2,316,0.5774416923522949,0.3834579885005951,0.03910033777356148,26498.55859375,17596.7265625,1794.2982177734375,0.7595179338303393,0.133711992222901,0.10677007373551622,0.6677023713980729,0.198525555803638,0.13377207265365432,574,1282,194
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP,310,0.5204999446868896,0.4723530411720276,0.007146998308598995,21873.376953125,19850.060546875,300.3439025878906,0.7879652720543909,0.18957268778563616,0.022462039894476444,0.6607006637317105,0.2896696243923927,0.04962971170734899,558,1155,102
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1,386,0.5892171859741211,0.4032256603240967,0.007557098288089037,35136.453125,24045.326171875,450.64813232421875,0.8277795640739514,0.15017932424956615,0.02204111150285265,0.7091133407498171,0.24000700617621165,0.050879652954293725,593,1199,106
HEM3_HUMAN_Loggerenberg_2023,HEM3,1854,0.6114959120750427,0.36683017015457153,0.021673867478966713,154442.546875,92648.5078125,5474.06298828125,0.811280504181773,0.129022426610164,0.05969706916934868,0.8048001091642617,0.13431744414203908,0.06088244665644048,715,2570,335
HIS7_YEAST_Pokusaeva_2019,HIS7,78,0.6134283542633057,0.3781464099884033,0.00842520222067833,6319.26513671875,3895.49560546875,86.79267120361328,0.8389691345926747,0.13710863805466947,0.02392222637418716,0.6601420504657541,0.24941665259415302,0.0904412965232773,399,651,40
HMDH_HUMAN_Jiang_2019,HMDH,5204,0.5633592009544373,0.41850823163986206,0.018132558092474937,403300.9375,299604.15625,12980.8427734375,0.7912867863721544,0.15583866090617163,0.05287455270721378,0.7900792411285746,0.15712689549746356,0.05279386335952388,737,2753,355
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82,714,0.5518339276313782,0.42832472920417786,0.019841277971863747,51376.2265625,39877.41015625,1847.240478515625,0.7809952695314647,0.16070738601978377,0.05829734433671661,0.7336962100612058,0.19541388120172482,0.07088990864381553,653,1903,243
HSP82_YEAST_Flynn_2019,HSP82,4189,0.5596715807914734,0.41358721256256104,0.026741163805127144,310419.5,229394.421875,14831.8740234375,0.7721386732133667,0.15126966842965256,0.07659165833864846,0.7707001035277709,0.1526349783319621,0.07666491812196895,737,2750,354
HSP82_YEAST_Mishra_2016,HSP82,1361,0.5662696361541748,0.4037460386753082,0.02998434379696846,107006.984375,76295.1796875,5666.0888671875,0.7698534724700964,0.14551767259860834,0.08462885487827236,0.7478976936056266,0.1604673846828405,0.09163492166155966,715,2376,309
HXK4_HUMAN_Gersing_2022_activity,HXK4,2615,0.5632185339927673,0.41237255930900574,0.024408897385001183,199482.5625,146055.4375,8645.2216796875,0.7787694619650811,0.151162615112794,0.07006792289335288,0.7745802233342904,0.15506162495764747,0.07035815168006603,721,2637,344
HXK4_HUMAN_Gersing_2023_abundance,HXK4,2598,0.563605546951294,0.41169023513793945,0.024704160168766975,198229.34375,144798.21875,8688.859375,0.7784229558270226,0.15074176741358292,0.07083527673045348,0.773685599854684,0.1548312774198735,0.07148312269722401,723,2639,343
I6TAH8_I68A0_Doud_2015,I6TAH8,2916,0.6767619252204895,0.31499871611595154,0.008239267393946648,288642.25,134348.484375,3514.08740234375,0.8705724558896839,0.10742379342977625,0.022003750658311224,0.8532412099123869,0.12218436431057696,0.02457442575542728,731,2376,309
IF1_ECOLI_Kelsic_2016,IF1,431,0.5563148260116577,0.41815733909606934,0.025527816265821457,33704.7265625,25334.357421875,1546.620849609375,0.7724783427967147,0.15393170844654672,0.07358994858782557,0.7124461982563949,0.18862116195639625,0.09893263966503199,578,1641,191
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3,461,0.6963188052177429,0.28220605850219727,0.021475156769156456,47071.04296875,19077.0859375,1451.71728515625,0.8536273938161814,0.09171687531879022,0.054655730731374357,0.7765824694235858,0.1356465883208713,0.08777094215457477,612,1420,167
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH,326,0.622977614402771,0.3704691231250763,0.006553283426910639,29952.111328125,17811.767578125,315.07501220703125,0.8478228701267152,0.1336618284034283,0.01851530126124168,0.6895361609665953,0.2648053908244439,0.04565844807129367,598,926,95
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1,746,0.5373268127441406,0.43951085209846497,0.023162290453910828,53547.5625,43799.66796875,2308.249267578125,0.7654982209695224,0.1659961400988522,0.06850563882626644,0.7519472732815183,0.1690599606394184,0.0789927659921395,619,2252,254
KCNE1_HUMAN_Muhammad_2023_function,KCNE1,745,0.5372614860534668,0.4395315945148468,0.023206904530525208,53438.12109375,43717.52734375,2308.249267578125,0.7653693952624395,0.16599621851134455,0.06863438612065892,0.7516912366967389,0.16918117180899214,0.0791275914071969,619,2250,254
KCNH2_HUMAN_Kozek_2020,KCNH2,62,0.5691002607345581,0.3842007517814636,0.046699024736881256,4825.97119140625,3258.023193359375,396.0078125,0.7411078955823285,0.1326397145865348,0.12625238869935107,0.5934088418381871,0.2287852655977606,0.1778058922677151,241,422,66
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2,2219,0.5686696171760559,0.40239331126213074,0.02893715165555477,178136.515625,126050.25,9064.6015625,0.7732557377312207,0.1450563019313812,0.0816879603054063,0.7618497442791996,0.15463384677307154,0.08351640891667936,726,2531,337
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2,2223,0.5692188739776611,0.4019709527492523,0.02881019376218319,178558.46875,126094.40625,9037.4794921875,0.7738198269515658,0.14486981753215358,0.08131035548434103,0.7625352574476704,0.1541876546090699,0.0832770879122985,725,2532,336
KKA2_KLEPN_Melnikov_2014,KKA2,1561,0.546030580997467,0.43954935669898987,0.01442006416618824,118637.078125,95501.703125,3133.07421875,0.7884969848063842,0.16827259935374583,0.04323041579088667,0.7765504430157435,0.17737100476451784,0.0460785521726758,719,2534,320
LGK_LIPST_Klesmith_2015,LGK,2592,0.5674376487731934,0.41798627376556396,0.014576097019016743,210455.453125,155025.828125,5406.09033203125,0.8008887867670552,0.15640073216003045,0.0427104810448678,0.7940138251016403,0.161683254061949,0.04430292080879349,732,2648,337
LYAM1_HUMAN_Elazar_2016,LYAM1,133,0.4804963171482086,0.48836252093315125,0.031141072511672974,9108.318359375,9257.4306640625,590.3121337890625,0.7122518948981434,0.19191484576050946,0.09583325876502811,0.6564036459065281,0.21983878026709996,0.12375757361882074,288,874,99
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG,257,0.6294082999229431,0.3551712930202484,0.015420370735228062,22974.986328125,12964.6455078125,562.88232421875,0.8330128096178737,0.12461770717978271,0.0423694829351267,0.730794730578998,0.1888615277735746,0.08034374147757106,534,1166,119
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11,384,0.6347969174385071,0.3520425856113434,0.01316054817289114,31294.583984375,17355.19921875,648.7963256835938,0.8402917415694096,0.12354159608849306,0.03616666214420523,0.7749177184867733,0.16405289702332673,0.061029384335632694,623,1632,164
MET_HUMAN_Estevam_2023,MET,1670,0.5517297983169556,0.4155055284500122,0.03276465833187103,135332.25,101918.1796875,8036.7509765625,0.7558927411661341,0.15091528310505312,0.09319197568764784,0.7455883184807666,0.15874170929090306,0.09566997218833266,726,2568,336
MK01_HUMAN_Brenan_2016,MK01,2153,0.5564543008804321,0.4145281910896301,0.029017513617873192,167119.40625,124494.859375,8714.802734375,0.7658425587749418,0.15124698423322183,0.08291045695806251,0.7572977024157674,0.16029637704337343,0.0824059205081419,722,2541,346
MLAC_ECOLI_MacRae_2023,MLAC,1251,0.5283903479576111,0.45399296283721924,0.017616653814911842,92359.3125,79355.1171875,3079.280517578125,0.7710118665910017,0.17562162855547833,0.0533665047919955,0.7556148343220626,0.18526706904373644,0.05911809657660487,704,2467,300
MSH2_HUMAN_Jia_2020,MSH2,5212,0.5936131477355957,0.38820236921310425,0.018184497952461243,432325.53125,282725.875,13243.6806640625,0.8084280821890851,0.14015827896221433,0.05141363883491891,0.8071291195491379,0.14131906765653537,0.051551812780586,736,2749,353
MTH3_HAEAE_RockahShmuel_2015,MTH3,1740,0.5427454710006714,0.4425811767578125,0.014673386700451374,134560.015625,109726.8046875,3637.89501953125,0.7859725165869405,0.169913057815228,0.04411442555478282,0.7697570966095002,0.1830160198788315,0.04722688346973665,733,2514,323
MTHR_HUMAN_Weile_2021,MTHR,3880,0.5658227801322937,0.4107612669467926,0.023415978997945786,285888.5625,207541.9375,11831.197265625,0.7822451934208605,0.15054789275926797,0.06720691379970575,0.7791634057938757,0.15359873794079737,0.06723785624532239,734,2703,352
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3,321,0.6220701336860657,0.36692506074905396,0.011004791595041752,28063.87109375,16553.337890625,496.46661376953125,0.8381532112733364,0.1310642082971908,0.03078258020936097,0.7228515469870743,0.21598569774480408,0.06116275510919871,617,1218,129
